Totsugawa T@Okitsu T,3
Totsugawa T@Sakaguchi M,3
Ueda T@Totsugawa T,2
Totsugawa T@Tanaka N,3
Maruyama M@Kobayashi N,1
Kosaka Y@Kobayashi N,1
Okitsu T@Kobayashi N,3
Sakaguchi M@Kobayashi N,3
Ueda T@Kobayashi N,2
Tanaka N@Kobayashi N,3
Maruyama M@Kosaka Y,1
Okitsu T@Maruyama M,1
Sakaguchi M@Maruyama M,1
Ueda T@Maruyama M,1
Tanaka N@Maruyama M,1
Okitsu T@Kosaka Y,1
Sakaguchi M@Kosaka Y,1
Ueda T@Kosaka Y,1
Tanaka N@Kosaka Y,1
Sakaguchi M@Okitsu T,3
Ueda T@Okitsu T,2
Tanaka N@Okitsu T,3
Ueda T@Sakaguchi M,2
Tanaka N@Sakaguchi M,3
Ueda T@Tanaka N,2
Kavaklı K@Berber E,2
Berber E@Akar N,3
Çağlayan SH@Berber E,2
Kavaklı K@Akar N,1
Çağlayan SH@Kavaklı K,1
Çağlayan SH@Akar N,1
Peters M@MacLean PE,2
Sands D@Hubbard AR,4
Seitz R@Hubbard AR,1
Hubbard AR@Barrowcliffe TW,7
Seitz R@Sands D,1
Sands D@Barrowcliffe TW,4
Seitz R@Barrowcliffe TW,1
Wannamethee SG@Lowe GD,11
Whincup PH@Wannamethee SG,9
Wannamethee SG@Rumley A,9
Wannamethee SG@Walker M,1
Wannamethee SG@Lennon L,4
Whincup PH@Lowe GD,9
Walker M@Lowe GD,1
Lowe GD@Lennon L,4
Whincup PH@Rumley A,7
Whincup PH@Walker M,1
Whincup PH@Lennon L,4
Walker M@Rumley A,1
Rumley A@Lennon L,3
Walker M@Lennon L,1
Gharagozlou S@Conti-Fine BM,2
Sharifian RA@Gharagozlou S,4
Rabbani H@Gharagozlou S,2
Shokri F@Gharagozlou S,5
Sharifian RA@Conti-Fine BM,2
Rabbani H@Conti-Fine BM,1
Shokri F@Conti-Fine BM,2
Sharifian RA@Rabbani H,1
Shokri F@Sharifian RA,4
Shokri F@Rabbani H,2
Hsu HC@Gau JP,5
Ho CH@Gau JP,4
Gau JP@Chau WK,4
Gau JP@Chen CC,2
You JY@Gau JP,2
Hsu HC@Ho CH,5
Hsu HC@Chau WK,4
Hsu HC@Chen CC,2
You JY@Hsu HC,2
Ho CH@Chau WK,5
Ho CH@Chen CC,2
You JY@Ho CH,2
Chen CC@Chau WK,2
You JY@Chau WK,2
You JY@Chen CC,2
Xu H@Edwards J,1
Xu H@Prevo R,1
Xu H@Jackson DG,1
Prevo R@Edwards J,1
Jackson DG@Edwards J,1
Prevo R@Jackson DG,2
Ramani K@Purohit VS,4
Purohit VS@Kashi RS,1
Purohit VS@Balasubramanian SV,5
Ramani K@Kashi RS,1
Ramani K@Balasubramanian SV,4
Kashi RS@Balasubramanian SV,1
Tomokiyo K@Nakatomi Y,3
Tomokiyo K@Araki T,2
Tomokiyo K@Teshima K,2
Tomokiyo K@Nakano H,1
Tomokiyo K@Nakagaki T,4
Tomokiyo K@Miyamoto S,3
Tomokiyo K@Funatsu A,3
Tomokiyo K@Iwanaga S,2
Nakatomi Y@Araki T,2
Teshima K@Nakatomi Y,2
Nakatomi Y@Nakano H,1
Nakatomi Y@Nakagaki T,3
Nakatomi Y@Miyamoto S,2
Nakatomi Y@Funatsu A,2
Nakatomi Y@Iwanaga S,2
Teshima K@Araki T,1
Nakano H@Araki T,1
Nakagaki T@Araki T,2
Miyamoto S@Araki T,1
Funatsu A@Araki T,1
Iwanaga S@Araki T,1
Teshima K@Nakano H,1
Teshima K@Nakagaki T,2
Teshima K@Miyamoto S,2
Teshima K@Funatsu A,2
Teshima K@Iwanaga S,2
Nakano H@Nakagaki T,1
Nakano H@Miyamoto S,1
Nakano H@Funatsu A,1
Nakano H@Iwanaga S,1
Nakagaki T@Miyamoto S,4
Nakagaki T@Funatsu A,4
Nakagaki T@Iwanaga S,2
Miyamoto S@Funatsu A,5
Miyamoto S@Iwanaga S,3
Iwanaga S@Funatsu A,3
Koc A@Gumruk F,1
Koc A@Gurgey A,1
Gurgey A@Gumruk F,5
Váradi K@Negrier C,2
Váradi K@Berntorp E,2
Váradi K@Astermark J,2
Váradi K@Bordet JC,2
Váradi K@Morfini M,2
Váradi K@Linari S,2
Váradi K@Schwarz HP,7
Váradi K@Turecek PL,5
Negrier C@Berntorp E,4
Negrier C@Astermark J,2
Negrier C@Bordet JC,5
Negrier C@Morfini M,3
Negrier C@Linari S,2
Schwarz HP@Negrier C,2
Turecek PL@Negrier C,2
Berntorp E@Astermark J,46
Bordet JC@Berntorp E,2
Morfini M@Berntorp E,6
Linari S@Berntorp E,3
Schwarz HP@Berntorp E,2
Turecek PL@Berntorp E,2
Bordet JC@Astermark J,2
Morfini M@Astermark J,3
Linari S@Astermark J,2
Schwarz HP@Astermark J,2
Turecek PL@Astermark J,2
Morfini M@Bordet JC,2
Linari S@Bordet JC,2
Schwarz HP@Bordet JC,2
Turecek PL@Bordet JC,2
Morfini M@Linari S,6
Schwarz HP@Morfini M,2
Turecek PL@Morfini M,2
Schwarz HP@Linari S,2
Turecek PL@Linari S,2
Turecek PL@Schwarz HP,24
Pipe SW@Cunningham MA,3
Zhang B@Cunningham MA,2
Hauri HP@Cunningham MA,1
Ginsburg D@Cunningham MA,2
Kaufman RJ@Cunningham MA,3
Zhang B@Pipe SW,2
Pipe SW@Hauri HP,2
Pipe SW@Ginsburg D,4
Pipe SW@Kaufman RJ,19
Zhang B@Hauri HP,1
Zhang B@Ginsburg D,10
Zhang B@Kaufman RJ,6
Hauri HP@Ginsburg D,3
Kaufman RJ@Hauri HP,3
Kaufman RJ@Ginsburg D,11
London FS@Ahmad SS,2
Walsh PN@Ahmad SS,21
Walsh PN@London FS,6
Morfini M@Cinotti S,12
Paladino E@Morfini M,5
Morfini M@Gringeri A,9
Morfini M@Mannucci PM,14
Paladino E@Cinotti S,2
Gringeri A@Cinotti S,1
Mannucci PM@Cinotti S,2
Paladino E@Gringeri A,1
Paladino E@Mannucci PM,1
Mannucci PM@Gringeri A,32
Stefansson I@Salvesen HB,2
Salvesen HB@Akslen LA,4
Stefansson I@Akslen LA,2
Rick ME@Epstein JS,1
Rand ML@Freedman J,1
Freedman J@Blanchette V,2
Garvey MB@Freedman J,5
Rand ML@Blanchette V,1
Rand ML@Garvey MB,1
Garvey MB@Blanchette V,3
Santagostino E@Gringeri A,18
Santagostino E@Muça-Perja M,2
Santagostino E@Mannucci PM,39
Muça-Perja M@Gringeri A,3
Muça-Perja M@Mannucci PM,2
Turecek PL@Fiedler C,2
Zimmermann K@Turecek PL,4
Turecek PL@Gritsch H,12
Voorberg J@Turecek PL,1
Turecek PL@Dorner F,5
Turecek PL@Scheiflinger F,13
Zimmermann K@Fiedler C,1
Gritsch H@Fiedler C,1
Voorberg J@Fiedler C,1
Schwarz HP@Fiedler C,1
Fiedler C@Dorner F,1
Scheiflinger F@Fiedler C,3
Zimmermann K@Gritsch H,2
Zimmermann K@Voorberg J,1
Zimmermann K@Schwarz HP,4
Zimmermann K@Dorner F,2
Zimmermann K@Scheiflinger F,2
Voorberg J@Gritsch H,1
Schwarz HP@Gritsch H,6
Gritsch H@Dorner F,2
Scheiflinger F@Gritsch H,6
Voorberg J@Schwarz HP,2
Voorberg J@Dorner F,1
Voorberg J@Scheiflinger F,1
Schwarz HP@Dorner F,5
Schwarz HP@Scheiflinger F,6
Scheiflinger F@Dorner F,4
Diebold J@Audouin J,2
Hoffmann SJ@Fiala KA,2
Ritenour DM@Fiala KA,2
Ritenour DM@Hoffmann SJ,2
Liu X@Li X,2
Suzuki T@Suzuki S,2
Nishio A@Koide N,7
Kono T@Koide N,2
Koide N@Hiraguri M,4
Watanabe H@Koide N,4
Koide N@Igarashi J,3
Koide N@Hanazaki K,5
Koide N@Adachi W,8
Koide N@Amano J,8
Nishio A@Kono T,2
Nishio A@Hiraguri M,4
Watanabe H@Nishio A,2
Nishio A@Igarashi J,3
Nishio A@Hanazaki K,4
Nishio A@Adachi W,6
Nishio A@Amano J,6
Kono T@Hiraguri M,1
Watanabe H@Kono T,2
Kono T@Igarashi J,2
Kono T@Hanazaki K,2
Kono T@Adachi W,2
Kono T@Amano J,2
Watanabe H@Hiraguri M,1
Igarashi J@Hiraguri M,1
Hiraguri M@Hanazaki K,3
Hiraguri M@Adachi W,4
Hiraguri M@Amano J,4
Watanabe H@Igarashi J,2
Watanabe H@Hanazaki K,3
Watanabe H@Adachi W,4
Watanabe H@Amano J,4
Igarashi J@Hanazaki K,2
Igarashi J@Adachi W,3
Igarashi J@Amano J,3
Hanazaki K@Adachi W,5
Hanazaki K@Amano J,5
Amano J@Adachi W,8
Patel RK@Ford E,1
Patel RK@Arya R,4
Ford E@Arya R,2
Wells PS@Rodger MA,2
Wells PS@Langlois NJ,2
Wells PS@Jaffey J,2
Rodger MA@Langlois NJ,1
Rodger MA@Jaffey J,1
Langlois NJ@Jaffey J,2
Misra N@Bayry J,6
Pashov A@Misra N,2
Misra N@Kaveri SV,6
Misra N@D'Oiron R,1
Stieltjes N@Misra N,2
Roussel-Robert V@Misra N,1
Misra N@Kazatchkine MD,6
Misra N@Boyer O,1
Misra N@Lacroix-Desmazes S,6
Pashov A@Bayry J,3
Kaveri SV@Bayry J,25
D'Oiron R@Bayry J,1
Stieltjes N@Bayry J,2
Roussel-Robert V@Bayry J,1
Kazatchkine MD@Bayry J,10
Boyer O@Bayry J,1
Lacroix-Desmazes S@Bayry J,26
Pashov A@Kaveri SV,5
Pashov A@D'Oiron R,1
Stieltjes N@Pashov A,3
Roussel-Robert V@Pashov A,1
Pashov A@Kazatchkine MD,5
Pashov A@Boyer O,1
Pashov A@Lacroix-Desmazes S,5
Kaveri SV@D'Oiron R,3
Stieltjes N@Kaveri SV,4
Roussel-Robert V@Kaveri SV,1
Kazatchkine MD@Kaveri SV,17
Kaveri SV@Boyer O,1
Lacroix-Desmazes S@Kaveri SV,58
Stieltjes N@D'Oiron R,2
Roussel-Robert V@D'Oiron R,1
Kazatchkine MD@D'Oiron R,2
D'Oiron R@Boyer O,1
Lacroix-Desmazes S@D'Oiron R,3
Stieltjes N@Roussel-Robert V,5
Stieltjes N@Kazatchkine MD,4
Stieltjes N@Boyer O,1
Stieltjes N@Lacroix-Desmazes S,4
Roussel-Robert V@Kazatchkine MD,1
Roussel-Robert V@Boyer O,1
Roussel-Robert V@Lacroix-Desmazes S,1
Kazatchkine MD@Boyer O,1
Lacroix-Desmazes S@Kazatchkine MD,17
Lacroix-Desmazes S@Boyer O,1
Siegemund T@Petros S,2
Siegemund T@Siegemund A,3
Siegemund T@Scholz U,4
Siegemund T@Engelmann L,2
Siegemund A@Petros S,3
Scholz U@Petros S,2
Petros S@Engelmann L,3
Siegemund A@Scholz U,3
Siegemund A@Engelmann L,3
Scholz U@Engelmann L,2
Teague L@Brasser M,1
Ockelford P@Brasser M,1
Teague L@Ockelford P,2
Löser P@Hofmann C,2
Löser P@Hillgenberg M,2
Hofmann C@Hillgenberg M,2
Gerlach R@Berkefeld J,2
Scharrer I@Gerlach R,1
Seifert V@Gerlach R,2
Raabe A@Gerlach R,2
Scharrer I@Berkefeld J,1
Seifert V@Berkefeld J,2
Raabe A@Berkefeld J,2
Seifert V@Scharrer I,1
Scharrer I@Raabe A,1
Seifert V@Raabe A,2
Szeifert GT@Salmon I,2
Szeifert GT@Brotchi J,2
Szeifert GT@Levivier M,2
Salmon I@Brotchi J,2
Salmon I@Levivier M,2
Levivier M@Brotchi J,2
Takeuchi T@Lee JH,1
Takeuchi T@Hirato J,1
Takeuchi T@Kaneko S,1
Takeuchi T@Choi SH,1
Takeuchi T@Suzuki N,1
Takeuchi T@Ikeda H,1
Lee JH@Hirato J,1
Lee JH@Kaneko S,1
Lee JH@Choi SH,1
Suzuki N@Lee JH,1
Lee JH@Ikeda H,1
Kaneko S@Hirato J,1
Hirato J@Choi SH,1
Suzuki N@Hirato J,1
Ikeda H@Hirato J,1
Kaneko S@Choi SH,1
Suzuki N@Kaneko S,1
Kaneko S@Ikeda H,1
Suzuki N@Choi SH,1
Ikeda H@Choi SH,1
Suzuki N@Ikeda H,1
Lee JC@Chow NH,1
Thomas A@Stirling D,2
Tonn T@Herder C,3
Herder C@Becker S,3
Peschel C@Herder C,1
Herder C@Grez M,3
